from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246091724609175+1544659+0,246091724609175+1543690+0,1,
33,33,,,246094524609455+1544660+0,246094524609455+1543691+0,1,
33,33,,,246090624609081+1543981+0,246089224609161+1542949+1,1,
33,33,,,246092824609302+1543982+0,246092724610002+1542949+1,1,
33,33,,,246092724610001+1544211+1,246092724609271+1543324+1,1,
33,33,,,246092724610004+1544211+1,246092824609304+1543325+1,1,
33,33,,,246092724610002+1544211+1,246095524609582+1543331+1,1,
33,33,,,246092724610003+1544211+1,246096224610003+1543324+1,1,
33,33,,,246092124609234+1544228+1,246092124609234+1543348+1,1,
33,33,,,246092724610001+1544228+1,246093424609371+1543348+1,1,
33,33,,,246092424609315+1544231+1,246092424609315+1543347+1,1,
33,33,,,246093824609385+1544232+1,246093824609385+1543352+1,1,
33,33,,,246088924609035+1544246+0,246088924608895+1539521+0,1,
33,33,,,246092124609233+1544347+0,246092124609233+1543497+0,1,
33,33,,,246092724610001+1544351+0,246093424609371+1543497+0,1,
33,33,,,246092724610001+1544351+0,246095524609581+1543504+0,1,
33,33,,,246094524609525+1544353+0,246094524609525+1543502+0,1,
33,33,,,246089224609161+1544356+0,246089224608951+1543545+0,1,
33,33,,,246089224609164+1544356+0,246089224608954+1543545+0,1,
33,33,,,246092124609232+1544358+0,246092124609232+1543548+0,1,
33,33,,,246092724610001+1544358+0,246093424609371+1543548+0,1,
33,33,,,246092724610003+1544358+0,246093424609373+1543548+0,1,
33,33,,,246092724610002+1544358+0,246094224609442+1543547+0,1,
33,33,,,246092724610003+1544358+0,246094224609443+1543547+0,1,
33,33,,,246089224608951+1544375+0,246089224608951+1543582+0,1,
33,33,,,246090624609081+1544378+0,246090624609081+1543586+0,1,
33,33,,,246093424609374+1544378+0,246093424609374+1543586+0,1,
33,33,,,246094124609411+1544378+0,246094124609411+1543586+0,1,
33,33,,,246094824609513+1544378+0,246094824609513+1543586+0,1,
33,33,,,246091024609105+1544380+0,246091024609105+1543587+0,1,
33,33,,,246094524609525+1544385+0,246095224609525+1543581+0,1,
33,33,,,246095524609584+1544386+0,246095524609584+1543592+0,1,
33,33,,,246089924609013+1545007+0,246089924609013+1543752+0,1,
33,33,,,246090624609083+1545008+0,246090624609083+1543749+0,1,
33,33,,,246093424609371+1545008+0,246093424609371+1543749+0,1,
33,33,,,246093424609373+1545008+0,246093424609373+1543749+0,1,
33,33,,,246093424609374+1545008+0,246093424609374+1543749+0,1,
33,33,,,246094824610002+1545008+0,246095524609582+1543759+0,1,
33,33,,,246091324609141+1545009+0,246091324609141+1543752+0,1,
33,33,,,246090224609024+1545105+0,246090224609024+1543777+0,1,
33,33,,,246094824609511+1545109+0,246094824609511+1543777+0,1,
33,33,,,246096224610002+1545109+0,246096224610002+1543777+0,1,
33,33,,,246091724609175+1543984+0,246091724609175+1542950+1,1,
33,33,,,246089224608952+1544004+1,246089224608952+1543001+1,1,
33,33,,,246090624609081+1544006+1,246090624609081+1543001+1,1,
33,33,,,246090624609083+1544006+1,246090624609083+1543001+1,1,
33,33,,,246093424609373+1544006+1,246093424609373+1543001+1,1,
33,33,,,246096224610001+1544006+1,246096224610001+1543001+1,1,
33,33,,,246091324609151+1544007+1,246091324609151+1543002+1,1,
33,33,,,246095524609584+1544007+1,246095524609584+1543002+1,1,
33,33,,,246094524609525+1544012+1,246094524609525+1543000+1,1,
33,33,,,246090624609164+1544248+0,246091624609164+1539522+0,1,
33,33,,,246092124609233+1544251+0,246092124609233+1539522+0,1,
33,33,,,246092724610004+1544251+0,246092824609304+1539524+0,1,
33,33,,,246094524609525+1544254+0,246094524609525+1539525+0,1,
33,33,,,246089224609024+1544257+0,246089224608954+1543378+0,1,
33,33,,,246091324609161+1544258+0,246091324609151+1543379+0,1,
33,33,,,246092124609233+1544258+0,246092124609233+1543378+0,1,
33,33,,,246088924608895+1544400+0,246088924608895+1543635+0,1,
33,33,,,246089224608951+1544401+0,246089224608951+1543636+0,1,
33,33,,,246089224608954+1544401+0,246089224608954+1543636+0,1,
33,33,,,246089324608932+1544402+0,246089224608952+1543636+0,1,
33,33,,,246093424609372+1544405+0,246093424609372+1543636+0,1,
33,33,,,246094224609442+1544406+0,246094224609442+1543638+0,1,
33,33,,,246091024609105+1544407+0,246091024609105+1543639+0,1,
33,33,,,246089224608954+1544850+0,246089224608954+1543710+0,1,
33,33,,,246089924609011+1544853+0,246089924609011+1543711+0,1,
33,33,,,246089924609012+1544853+0,246089924609012+1543711+0,1,
33,33,,,246090624609083+1544854+0,246090624609083+1543710+0,1,
33,33,,,246092724609271+1544854+0,246092724609271+1543710+0,1,
33,33,,,246093424609372+1544854+0,246093424609372+1543710+0,1,
33,33,,,246091324609142+1544855+0,246091324609142+1543711+0,1,
33,33,,,246095924610015+1544861+0,246095924610015+1543718+0,1,
33,33,,,246090324609035+1544960+0,246088924609035+1543741+0,1,
33,33,,,246093424609373+1544965+0,246092724610003+1543742+0,1,
33,33,,,246094824610001+1544965+0,246092724610001+1543742+0,1,
33,33,,,246094824610004+1544965+0,246092724610004+1543742+0,1,
33,33,,,246089224608951+1545004+0,246089224608951+1543749+0,1,
33,33,,,246090224609024+1545004+0,246090224609024+1543749+0,1,
33,33,,,246094224609444+1545110+0,246094224609444+1543779+0,1,
33,33,,,246095524609581+1545112+0,246095524609581+1543785+0,1,
33,33,,,246095524609583+1545112+0,246095524609583+1543785+0,1,
33,33,,,246089224608954+1545390+0,246089224608954+1543818+0,1,
33,33,,,246089924609013+1545393+0,246089924609013+1543819+0,1,
33,33,,,246091524609164+1545394+0,246091624609164+1543818+0,1,
33,33,,,246092124609233+1545394+0,246092124609233+1543818+0,1,
33,33,,,246092124609234+1545394+0,246092124609234+1543818+0,1,
33,33,,,246094124609411+1545394+0,246094124609411+1543818+0,1,
33,33,,,246094824610001+1545394+0,246095524609581+1543823+0,1,
33,33,,,246092824609304+1545395+0,246092824609304+1543819+0,1,
33,33,,,246093124609315+1545399+0,246092424609315+1543817+0,1,
33,33,,,246092624609967+1545492+0,246092624609967+1544956+0,1,
33,33,,,246092424609245+1545513+0,246092424609245+1543855+0,1,
33,33,,,246090624609082+1545515+0,246090624609082+1543852+0,1,
33,33,,,246091524609164+1545515+0,246091624609164+1543852+0,1,
33,33,,,246092124609234+1545515+0,246092124609234+1543852+0,1,
33,33,,,246093424609372+1545515+0,246093424609372+1543852+0,1,
33,33,,,246093424609373+1545515+0,246093424609373+1543852+0,1,
33,33,,,246094124609411+1545515+0,246094124609411+1543852+0,1,
33,33,,,246094824610002+1545515+0,246094824609512+1543852+0,1,
33,33,,,246094824610003+1545515+0,246095524609583+1543856+0,1,
33,33,,,246092824609303+1545516+0,246092824609303+1543854+0,1,
33,33,,,246091024609105+1545517+0,246091024609105+1543855+0,1,
33,33,,,246093124609315+1545537+0,246092424609315+1543877+0,1,
33,33,,,246092424609245+1545540+0,246092424609315+1543877+0,1,
33,33,,,246089924609011+1545541+0,246089924609011+1543873+0,1,
33,33,,,246089924609012+1545541+0,246089924609012+1543873+0,1,
33,33,,,246090624609081+1545542+0,246090624609081+1543872+0,1,
33,33,,,246094124609411+1545542+0,246094124609411+1543872+0,1,
33,33,,,246092724610001+1545552+0,246092724610001+1543895+0,1,
33,33,,,246092724610003+1545552+0,246092724610003+1543895+0,1,
33,33,,,246095924610015+1545556+0,246095924610015+1543900+0,1,
33,33,,,246089224609162+1545569+0,246089224608952+1543917+0,1,
33,33,,,246089224609163+1545569+0,246091524609153+1543920+0,1,
33,33,,,246091724609175+1545570+0,246091724609175+1543921+0,1,
33,33,,,246092724610003+1545573+0,246094224609443+1543918+0,1,
33,33,,,246092724610002+1545573+0,246094824609512+1543917+0,1,
33,33,,,246092724610002+1545573+0,246095524609582+1543924+0,1,
33,33,,,246089224609162+1545594+0,246089424608943+1543943+0,1,
33,33,,,246089224609162+1545594+0,246090024609013+1543945+0,1,
33,33,,,246089224609164+1545594+0,246091024609105+1543949+0,1,
33,33,,,246092724610001+1545598+0,246092824609282+1543948+0,1,
33,33,,,246092724610004+1545598+0,246093124609315+1543949+0,1,
33,33,,,246092724610004+1545598+0,246093824609385+1543941+0,1,
33,33,,,246092724610003+1545598+0,246095624609584+1543955+0,1,
33,33,,,246092724610004+1545598+0,246095924610015+1543956+0,1,
33,33,,,246092724610002+1545598+0,246096324610003+1543947+0,1,
33,33,,,246089724609046+1548360+0,246089024609956+1544429+0,1,
33,33,,,246089024608906+1548374+0,246089024609956+1544453+0,1,
33,33,,,246100224610026+1548386+0,246100224610026+1544457+0,1,
33,33,,,246089724609046+1548407+0,246089024609046+1544479+0,1,
33,33,,,246092524609256+1548409+0,246092524609256+1544481+0,1,
33,33,,,246093224609956+1549416+0,246089024609956+1544466+0,1,
33,33,,,246089124608917+1549417+0,246089124609127+1544467+0,1,
33,33,,,246089724609256+1549418+0,246089024609956+1544466+0,1,
33,33,,,246093324609477+1549423+0,246092624609967+1544467+0,1,
33,33,,,246089124608917+1549490+0,246089124609057+1544559+0,1,
33,33,,,246089824608987+1549492+0,246089124609057+1544559+0,1,
33,33,,,246091824609186+1549493+0,246089024610026+1544558+0,1,
33,33,,,246091124609116+1549495+0,246089024610026+1544558+0,1,
33,33,,,246089124608917+1549545+0,246089124609127+1544665+0,1,
33,33,,,246091224609127+1549549+0,246089124609127+1544665+0,1,
33,33,,,246092024609201+1549551+0,246092024609201+1544667+0,1,
33,33,,,246089824608987+1549616+0,246089824608987+1544740+0,1,
33,33,,,246091824609186+1549619+0,246089024609956+1544738+0,1,
33,33,,,246093224609326+1549623+0,246089024609956+1544738+0,1,
33,33,,,246091124609116+1549677+0,246089024609956+1549300+0,1,
33,33,,,246093324609337+1549683+0,246093324609967+1549307+0,1,
33,33,,,246089024608906+1549688+0,246089024608906+1549319+0,1,
33,33,,,246092624609267+1549693+0,246092624609967+1549322+0,1,
33,33,,,246089224608951+1544031+1,246089224609161+1543055+1,1,
33,33,,,246089224608954+1544031+1,246089224609164+1543055+1,1,
33,33,,,246089924609013+1544032+1,246089224609163+1543016+1,1,
33,33,,,246094824609512+1544033+1,246092724610002+1543055+1,1,
33,33,,,246091324609152+1544034+1,246089224609162+1543016+1,1,
33,33,,,246091324609153+1544034+1,246089224609163+1543016+1,1,
33,33,,,246095524609584+1544034+1,246092724610004+1543016+1,1,
33,33,,,246091324609151+1544034+1,246089224609161+1543055+1,1,
33,33,,,246092524609256+1548426+0,246089024610026+1544504+0,1,
33,33,,,246095324609956+1548429+0,246089024610026+1544504+0,1,
33,33,,,246100224610026+1548466+0,246089024610026+1544530+0,1,
33,33,,,246089124608917+1548514+0,246089124609127+1544589+0,1,
33,33,,,246089724608976+1548515+0,246089024610026+1544588+0,1,
33,33,,,246090524609057+1548518+0,246089124609127+1544589+0,1,
33,33,,,246091924609197+1548520+0,246091924609197+1544590+0,1,
33,33,,,246089024608906+1548539+0,246089024610026+1544619+0,1,
33,33,,,246093224609956+1548539+0,246089024610026+1544619+0,1,
33,33,,,246089024608906+1548584+0,246089024609956+1544704+0,1,
33,33,,,246089724609116+1548665+0,246089024610026+1544778+0,1,
33,33,,,246092524609256+1548665+0,246089024610026+1544778+0,1,
33,33,,,246100224610026+1548673+0,246089024610026+1544778+0,1,
33,33,,,246089124608917+1549716+0,246089124609057+1549357+0,1,
33,33,,,246089824608987+1549718+0,246089124609057+1549357+0,1,
33,33,,,246093224609326+1549725+0,246089024609956+1549356+0,1,
33,33,,,246093924610026+1549727+0,246100224610026+1549361+0,1,
